       value	     chindex	     chlabel	        bini	     ERPset
      -6.095	           4	          F1	           1	09_withDiff
      -4.695	          11	         FC1	           1	09_withDiff
      -2.834	          12	          C1	           1	09_withDiff
      -2.358	          19	         CP1	           1	09_withDiff
      -2.138	          32	         CPz	           1	09_withDiff
      -8.062	          38	          Fz	           1	09_withDiff
      -7.410	          39	          F2	           1	09_withDiff
      -6.141	          46	         FC2	           1	09_withDiff
      -4.961	          47	         FCz	           1	09_withDiff
      -3.405	          48	          Cz	           1	09_withDiff
      -3.859	          49	          C2	           1	09_withDiff
      -2.132	          56	         CP2	           1	09_withDiff
      -4.926	           4	          F1	           2	09_withDiff
      -4.339	          11	         FC1	           2	09_withDiff
      -4.146	          12	          C1	           2	09_withDiff
      -3.426	          19	         CP1	           2	09_withDiff
      -3.263	          32	         CPz	           2	09_withDiff
      -6.967	          38	          Fz	           2	09_withDiff
      -7.594	          39	          F2	           2	09_withDiff
      -6.140	          46	         FC2	           2	09_withDiff
      -5.527	          47	         FCz	           2	09_withDiff
      -5.111	          48	          Cz	           2	09_withDiff
      -5.246	          49	          C2	           2	09_withDiff
      -3.488	          56	         CP2	           2	09_withDiff
      -1.150	           4	          F1	           3	09_withDiff
      -0.857	          11	         FC1	           3	09_withDiff
       0.187	          12	          C1	           3	09_withDiff
       1.073	          19	         CP1	           3	09_withDiff
       0.493	          32	         CPz	           3	09_withDiff
      -2.621	          38	          Fz	           3	09_withDiff
      -2.063	          39	          F2	           3	09_withDiff
      -1.802	          46	         FC2	           3	09_withDiff
      -1.044	          47	         FCz	           3	09_withDiff
       0.319	          48	          Cz	           3	09_withDiff
      -1.002	          49	          C2	           3	09_withDiff
       0.113	          56	         CP2	           3	09_withDiff
      -3.286	           4	          F1	           4	09_withDiff
      -3.792	          11	         FC1	           4	09_withDiff
      -3.185	          12	          C1	           4	09_withDiff
      -2.421	          19	         CP1	           4	09_withDiff
      -3.506	          32	         CPz	           4	09_withDiff
      -3.534	          38	          Fz	           4	09_withDiff
      -4.352	          39	          F2	           4	09_withDiff
      -5.786	          46	         FC2	           4	09_withDiff
      -4.552	          47	         FCz	           4	09_withDiff
      -4.879	          48	          Cz	           4	09_withDiff
      -5.112	          49	          C2	           4	09_withDiff
      -3.177	          56	         CP2	           4	09_withDiff
      -3.367	           4	          F1	           5	09_withDiff
      -2.727	          11	         FC1	           5	09_withDiff
      -1.501	          12	          C1	           5	09_withDiff
      -0.781	          19	         CP1	           5	09_withDiff
      -0.783	          32	         CPz	           5	09_withDiff
      -4.173	          38	          Fz	           5	09_withDiff
      -3.770	          39	          F2	           5	09_withDiff
      -2.927	          46	         FC2	           5	09_withDiff
      -3.161	          47	         FCz	           5	09_withDiff
      -2.317	          48	          Cz	           5	09_withDiff
      -2.590	          49	          C2	           5	09_withDiff
      -1.419	          56	         CP2	           5	09_withDiff
      -0.078	           4	          F1	           1	01_withDiff
       2.070	          11	         FC1	           1	01_withDiff
      -1.192	          12	          C1	           1	01_withDiff
      -1.535	          19	         CP1	           1	01_withDiff
      -0.195	          32	         CPz	           1	01_withDiff
      -0.612	          38	          Fz	           1	01_withDiff
      -1.081	          39	          F2	           1	01_withDiff
      -1.763	          46	         FC2	           1	01_withDiff
      -0.807	          47	         FCz	           1	01_withDiff
      -0.200	          48	          Cz	           1	01_withDiff
      -1.350	          49	          C2	           1	01_withDiff
      -1.312	          56	         CP2	           1	01_withDiff
      -1.669	           4	          F1	           2	01_withDiff
      -0.147	          11	         FC1	           2	01_withDiff
      -0.448	          12	          C1	           2	01_withDiff
      -1.269	          19	         CP1	           2	01_withDiff
       2.212	          32	         CPz	           2	01_withDiff
      -1.450	          38	          Fz	           2	01_withDiff
      -1.395	          39	          F2	           2	01_withDiff
      -0.676	          46	         FC2	           2	01_withDiff
      -0.716	          47	         FCz	           2	01_withDiff
       1.449	          48	          Cz	           2	01_withDiff
      -1.243	          49	          C2	           2	01_withDiff
       0.215	          56	         CP2	           2	01_withDiff
       0.267	           4	          F1	           3	01_withDiff
       1.880	          11	         FC1	           3	01_withDiff
      -0.192	          12	          C1	           3	01_withDiff
       0.110	          19	         CP1	           3	01_withDiff
      -0.120	          32	         CPz	           3	01_withDiff
      -0.126	          38	          Fz	           3	01_withDiff
      -0.150	          39	          F2	           3	01_withDiff
       1.702	          46	         FC2	           3	01_withDiff
       0.233	          47	         FCz	           3	01_withDiff
       0.797	          48	          Cz	           3	01_withDiff
      -0.115	          49	          C2	           3	01_withDiff
      -1.142	          56	         CP2	           3	01_withDiff
       2.895	           4	          F1	           4	01_withDiff
      -2.488	          11	         FC1	           4	01_withDiff
       0.808	          12	          C1	           4	01_withDiff
       1.154	          19	         CP1	           4	01_withDiff
       3.433	          32	         CPz	           4	01_withDiff
       3.617	          38	          Fz	           4	01_withDiff
       2.809	          39	          F2	           4	01_withDiff
       3.741	          46	         FC2	           4	01_withDiff
       3.040	          47	         FCz	           4	01_withDiff
       2.903	          48	          Cz	           4	01_withDiff
       2.892	          49	          C2	           4	01_withDiff
       1.886	          56	         CP2	           4	01_withDiff
      -0.301	           4	          F1	           5	01_withDiff
      -2.574	          11	         FC1	           5	01_withDiff
      -0.217	          12	          C1	           5	01_withDiff
       0.041	          19	         CP1	           5	01_withDiff
       1.348	          32	         CPz	           5	01_withDiff
       0.320	          38	          Fz	           5	01_withDiff
      -0.611	          39	          F2	           5	01_withDiff
      -0.542	          46	         FC2	           5	01_withDiff
      -0.164	          47	         FCz	           5	01_withDiff
      -0.240	          48	          Cz	           5	01_withDiff
       0.318	          49	          C2	           5	01_withDiff
       0.460	          56	         CP2	           5	01_withDiff
      -1.353	           4	          F1	           1	02_withDiff
       0.011	          11	         FC1	           1	02_withDiff
