       value	     chindex	     chlabel	        bini	     ERPset
      -3.534	           4	          F1	           1	09_withDiff
      -2.724	          11	         FC1	           1	09_withDiff
      -1.779	          12	          C1	           1	09_withDiff
      -1.314	          19	         CP1	           1	09_withDiff
      -1.061	          32	         CPz	           1	09_withDiff
      -3.432	          38	          Fz	           1	09_withDiff
      -3.350	          39	          F2	           1	09_withDiff
      -3.248	          46	         FC2	           1	09_withDiff
      -2.251	          47	         FCz	           1	09_withDiff
      -1.900	          48	          Cz	           1	09_withDiff
      -2.024	          49	          C2	           1	09_withDiff
      -1.013	          56	         CP2	           1	09_withDiff
      -0.137	           4	          F1	           2	09_withDiff
      -0.053	          11	         FC1	           2	09_withDiff
      -0.504	          12	          C1	           2	09_withDiff
       0.224	          19	         CP1	           2	09_withDiff
      -0.157	          32	         CPz	           2	09_withDiff
      -0.331	          38	          Fz	           2	09_withDiff
      -0.784	          39	          F2	           2	09_withDiff
      -0.509	          46	         FC2	           2	09_withDiff
      -0.286	          47	         FCz	           2	09_withDiff
      -0.805	          48	          Cz	           2	09_withDiff
      -0.726	          49	          C2	           2	09_withDiff
      -0.910	          56	         CP2	           2	09_withDiff
       0.804	           4	          F1	           3	09_withDiff
       1.117	          11	         FC1	           3	09_withDiff
       1.629	          12	          C1	           3	09_withDiff
       1.092	          19	         CP1	           3	09_withDiff
       1.786	          32	         CPz	           3	09_withDiff
       0.177	          38	          Fz	           3	09_withDiff
       0.315	          39	          F2	           3	09_withDiff
       1.118	          46	         FC2	           3	09_withDiff
       1.636	          47	         FCz	           3	09_withDiff
       1.714	          48	          Cz	           3	09_withDiff
       1.266	          49	          C2	           3	09_withDiff
       1.610	          56	         CP2	           3	09_withDiff
       1.693	           4	          F1	           4	09_withDiff
       0.912	          11	         FC1	           4	09_withDiff
       0.273	          12	          C1	           4	09_withDiff
       0.029	          19	         CP1	           4	09_withDiff
      -0.487	          32	         CPz	           4	09_withDiff
       0.999	          38	          Fz	           4	09_withDiff
       1.311	          39	          F2	           4	09_withDiff
       0.222	          46	         FC2	           4	09_withDiff
      -0.020	          47	         FCz	           4	09_withDiff
      -0.214	          48	          Cz	           4	09_withDiff
       0.224	          49	          C2	           4	09_withDiff
      -0.092	          56	         CP2	           4	09_withDiff
      -0.849	           4	          F1	           5	09_withDiff
      -0.536	          11	         FC1	           5	09_withDiff
       0.081	          12	          C1	           5	09_withDiff
      -0.138	          19	         CP1	           5	09_withDiff
      -0.101	          32	         CPz	           5	09_withDiff
      -1.024	          38	          Fz	           5	09_withDiff
      -0.232	          39	          F2	           5	09_withDiff
      -0.321	          46	         FC2	           5	09_withDiff
      -0.621	          47	         FCz	           5	09_withDiff
      -0.368	          48	          Cz	           5	09_withDiff
      -0.161	          49	          C2	           5	09_withDiff
      -0.019	          56	         CP2	           5	09_withDiff
       1.425	           4	          F1	           1	01_withDiff
       2.981	          11	         FC1	           1	01_withDiff
       0.002	          12	          C1	           1	01_withDiff
      -0.296	          19	         CP1	           1	01_withDiff
      -0.044	          32	         CPz	           1	01_withDiff
       0.556	          38	          Fz	           1	01_withDiff
       0.131	          39	          F2	           1	01_withDiff
       0.219	          46	         FC2	           1	01_withDiff
       1.011	          47	         FCz	           1	01_withDiff
       0.468	          48	          Cz	           1	01_withDiff
      -0.137	          49	          C2	           1	01_withDiff
      -0.825	          56	         CP2	           1	01_withDiff
      -1.438	           4	          F1	           2	01_withDiff
      -1.760	          11	         FC1	           2	01_withDiff
      -0.700	          12	          C1	           2	01_withDiff
      -1.047	          19	         CP1	           2	01_withDiff
      -0.165	          32	         CPz	           2	01_withDiff
      -1.735	          38	          Fz	           2	01_withDiff
      -1.728	          39	          F2	           2	01_withDiff
      -1.811	          46	         FC2	           2	01_withDiff
      -1.703	          47	         FCz	           2	01_withDiff
       0.009	          48	          Cz	           2	01_withDiff
      -1.679	          49	          C2	           2	01_withDiff
      -0.962	          56	         CP2	           2	01_withDiff
      -1.961	           4	          F1	           3	01_withDiff
      -0.845	          11	         FC1	           3	01_withDiff
      -0.901	          12	          C1	           3	01_withDiff
      -0.214	          19	         CP1	           3	01_withDiff
      -1.173	          32	         CPz	           3	01_withDiff
      -1.083	          38	          Fz	           3	01_withDiff
      -1.896	          39	          F2	           3	01_withDiff
      -0.605	          46	         FC2	           3	01_withDiff
      -1.345	          47	         FCz	           3	01_withDiff
      -0.893	          48	          Cz	           3	01_withDiff
      -0.596	          49	          C2	           3	01_withDiff
      -1.321	          56	         CP2	           3	01_withDiff
       3.002	           4	          F1	           4	01_withDiff
       0.391	          11	         FC1	           4	01_withDiff
       0.519	          12	          C1	           4	01_withDiff
       0.855	          19	         CP1	           4	01_withDiff
       1.747	          32	         CPz	           4	01_withDiff
       3.653	          38	          Fz	           4	01_withDiff
       3.759	          39	          F2	           4	01_withDiff
       3.348	          46	         FC2	           4	01_withDiff
       2.928	          47	         FCz	           4	01_withDiff
       2.047	          48	          Cz	           4	01_withDiff
       2.079	          49	          C2	           4	01_withDiff
       1.314	          56	         CP2	           4	01_withDiff
      -0.057	           4	          F1	           5	01_withDiff
      -0.736	          11	         FC1	           5	01_withDiff
      -0.325	          12	          C1	           5	01_withDiff
       0.394	          19	         CP1	           5	01_withDiff
       0.422	          32	         CPz	           5	01_withDiff
       0.555	          38	          Fz	           5	01_withDiff
       0.632	          39	          F2	           5	01_withDiff
       0.445	          46	         FC2	           5	01_withDiff
       0.077	          47	         FCz	           5	01_withDiff
      -0.149	          48	          Cz	           5	01_withDiff
       0.182	          49	          C2	           5	01_withDiff
       0.241	          56	         CP2	           5	01_withDiff
       1.547	           4	          F1	           1	02_withDiff
       2.085	          11	         FC1	           1	02_withDiff
       1.710	          12	          C1	           1	02_withDiff
       1.353	          19	         CP1	           1	02_withDiff
       1.508	          32	         CPz	           1	02_withDiff
       2.272	          38	          Fz	           1	02_withDiff
       1.937	          39	          F2	           1	02_withDiff
       2.177	          46	         FC2	           1	02_withDiff
       2.087	          47	         FCz	           1	02_withDiff
       2.174	          48	          Cz	           1	02_withDiff
       1.798	          49	          C2	           1	02_withDiff
       0.325	          56	         CP2	           1	02_withDiff
      -2.053	           4	          F1	           2	02_withDiff
      -1.870	          11	         FC1	           2	02_withDiff
      -1.755	          12	          C1	           2	02_withDiff
      -1.891	          19	         CP1	           2	02_withDiff
