screenMode,seed,subjCode,breakEvery,useParallel,Question,compLower,filename,hasQuestion,newWord1,newWord2,offsetNoun,onsetDet,onsetNoun,part,relatedness,sentID,speaker,totalLen,trigDet,trigOffsetNoun,unrelOppositeGender,waitForDetOffset,waitForEnd,waitForNounOffset,yesOrNo,trialIndex,expTimer,whichPart,trialIndex,response,isRight,rt
fs,10,01M32,30,yes,,,nonNat_330_control,0,speelgoed,lego,7.41,6.629,6.774,experiment,control,330,nonNat,7.541,55,155,,0.145,0.131,0.636,nan,1,292.7609997,experiment,0,-99,-99,-99000
fs,10,01M32,30,yes,Werkt de lift bij brand?,de lift,nonNat_145_unrelated,1,,,2.852,2.44,2.588,experiment,unrelated,145,nonNat,3.804,22,229,het dak,0.148,0.952,0.264,0,2,303.2589505,experiment,1,z,1,1842.102251
fs,10,01M32,30,yes,Staan de boeken die de spreker gelezen heeft op de onderste plank in de kast?,de kast,nonNat_29_unrelated,1,,,3.186,2.668,2.837,experiment,unrelated,29,nonNat,3.992,22,229,het bureau,0.169,0.806,0.349,1,3,316.2984441,experiment,2,slash,1,4212.171387
fs,10,01M32,30,yes,Werd de gladheid aangekondigd op de televisie?,de wind,nonNat_100_related,1,,,6.041,5.457,5.601,experiment,related,100,nonNat,7.446,21,219,het gezicht,0.144,1.405,0.44,0,4,330.4820157,experiment,3,z,1,1896.687825
fs,10,01M32,30,yes,Draait de nieuwe film van die acteur al?,de bioscoop,Nat_39_related,1,,,2.431,1.791,1.95,experiment,related,39,Nat,2.98,11,119,het theater,0.159,0.549,0.481,1,5,341.1859439,experiment,4,slash,1,2899.446416
fs,10,01M32,30,yes,,,nonNat_338_control,0,tv,kijken,0.792,0.33,0.445,experiment,control,338,nonNat,4.686,55,155,,0.115,3.894,0.347,nan,6,350.6722729,experiment,5,-99,-99,-99000
fs,10,01M32,30,yes,Wilden ze zijn afstuderen vieren met champagne?,de champagne,Nat_126_related,1,,,5.031,4.255,4.385,experiment,related,126,Nat,6.875,11,119,het feest,0.13,1.844,0.646,0,7,365.0331759,experiment,6,z,1,2667.519539
fs,10,01M32,30,yes,Gaat deze uitdrukking over koeien?,de sloot,Nat_88_unrelated,1,,,3.017,2.583,2.722,experiment,unrelated,88,Nat,3.552,12,129,het meer,0.139,0.535,0.295,0,8,375.2168846,experiment,7,z,1,1813.52518
fs,10,01M32,30,yes,,,Nat_307_control,0,collega,raam,1.941,1.561,1.613,experiment,control,307,Nat,5.2,55,155,,0.052,3.259,0.328,nan,9,385.2136175,experiment,8,-99,-99,-99000
fs,10,01M32,30,yes,,de lucht,nonNat_80_related,0,,,3.906,3.549,3.66,experiment,related,80,nonNat,4.779,21,219,het water,0.111,0.873,0.246,nan,10,394.7969792,experiment,9,-99,-99,-99000
fs,10,01M32,30,yes,,het internet,Nat_59_related,0,,,5.853,5.245,5.364,experiment,related,59,Nat,7.181,11,119,de websites,0.119,1.328,0.489,nan,11,406.7724859,experiment,10,-99,-99,-99000
fs,10,01M32,30,yes,,de meterkast,nonNat_116_related,0,,,4.963,4.202,4.315,experiment,related,116,nonNat,5.532,21,219,het kabinet,0.113,0.569,0.648,nan,12,417.1078898,experiment,11,-99,-99,-99000
fs,10,01M32,30,yes,Kwam de trein op tijd aan in Utrecht?,het station,Nat_136_related,1,,,3.03,2.415,2.52,experiment,related,136,Nat,3.76,11,119,de noordzijde,0.105,0.73,0.51,0,13,428.4638133,experiment,12,z,1,2776.082988
fs,10,01M32,30,yes,,het vak,Nat_142_unrelated,0,,,4.922,3.907,4.048,experiment,unrelated,142,Nat,7.731,12,129,de lesomgeving,0.141,2.809,0.874,nan,14,440.9808127,experiment,13,-99,-99,-99000
fs,10,01M32,30,yes,,de hoek,nonNat_84_unrelated,0,,,7.371,6.526,6.746,experiment,unrelated,84,nonNat,8.61,22,229,het kamertje,0.22,1.239,0.625,nan,15,454.3853624,experiment,14,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_339_control,0,mensen,verstand,2.66,2.062,2.259,experiment,control,339,nonNat,5.492,55,155,,0.197,2.832,0.401,nan,16,464.6747202,experiment,15,-99,-99,-99000
fs,10,01M32,30,yes,Heeft Michael nieuwe boxen gekocht voor zijn tv?,het geluid,nonNat_69_unrelated,1,,,3.823,3.339,3.422,experiment,unrelated,69,nonNat,4.916,22,229,de muziek,0.083,1.093,0.401,1,17,477.5506598,experiment,16,z,0,3087.484955
fs,10,01M32,30,yes,,de pan,Nat_108_related,0,,,4.256,3.809,4.024,experiment,related,108,Nat,5.8,11,119,het vuur,0.215,1.544,0.232,nan,18,488.1446341,experiment,17,-99,-99,-99000
fs,10,01M32,30,yes,,de post,nonNat_11_related,0,,,5.193,4.754,4.932,experiment,related,11,nonNat,6.148,21,219,het postbedrijf,0.178,0.955,0.261,nan,19,499.0951014,experiment,18,-99,-99,-99000
fs,10,01M32,30,yes,Maken kinderen sneeuwengelen in de winter?,de sneeuw,Nat_30_related,1,,,1.991,1.622,1.679,experiment,related,30,Nat,3.074,11,119,het ijs,0.057,1.083,0.312,1,20,510.6535652,experiment,19,slash,1,3661.775326
fs,10,01M32,30,yes,,,Nat_300_control,0,conferentie,Londen,1.205,0.66,0.783,experiment,control,300,Nat,2.657,55,155,,0.123,1.452,0.422,nan,21,518.1128388,experiment,20,-99,-99,-99000
fs,10,01M32,30,yes,Was er te weinig licht om te lezen in de kamer?,het licht,Nat_32_related,1,,,3.303,2.916,3.056,experiment,related,32,Nat,3.87,11,119,de lamp,0.14,0.567,0.247,1,22,529.4692677,experiment,21,slash,1,2672.793827
fs,10,01M32,30,yes,Ging de zin over een fietstocht door de Alpen?,de berg,nonNat_104_unrelated,1,,,2.586,2.047,2.224,experiment,unrelated,104,nonNat,3.866,22,229,het pad,0.177,1.28,0.362,0,23,542.0928407,experiment,22,z,1,3891.37435
fs,10,01M32,30,yes,,,nonNat_348_control,0,aanwijzingen,gelukkiger,2.715,1.777,2.02,experiment,control,348,nonNat,5.731,55,155,,0.243,3.016,0.695,nan,24,552.6151679,experiment,23,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_301_control,0,werk,woensdag,1.67,1.249,1.369,experiment,control,301,Nat,4.195,55,155,,0.12,2.525,0.301,nan,25,561.5995416,experiment,24,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_336_control,0,toeristen,land,3.857,2.888,3.308,experiment,control,336,nonNat,6.872,55,155,,0.42,3.015,0.549,nan,26,573.2590024,experiment,25,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_308_control,0,telefoon,bedrijf,3.52,2.694,2.824,experiment,control,308,Nat,4.603,55,155,,0.13,1.083,0.696,nan,27,582.6633807,experiment,26,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_344_control,0,lezen,saai,3.06,2.309,2.766,experiment,control,344,nonNat,3.692,55,155,,0.457,0.632,0.294,nan,28,591.1536955,experiment,27,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_325_control,0,kinderen,school,0.503,0.005,0.162,experiment,control,325,Nat,5.752,55,155,,0.157,5.249,0.341,nan,29,601.6951288,experiment,28,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_358_control,0,jaren,woningnood,2.978,2.391,2.636,experiment,control,358,nonNat,5.016,55,155,,0.245,2.038,0.342,nan,30,611.5134978,experiment,29,-99,-99,-99000
fs,10,01M32,30,yes,,het bestek,Nat_129_related,0,,,5.513,4.963,5.116,experiment,related,129,Nat,7.027,11,119,de lepels,0.153,1.514,0.397,nan,31,730.5661894,experiment,30,-99,-99,-99000
fs,10,01M32,30,yes,,het antwoord,nonNat_23_related,0,,,3.397,2.817,3,experiment,related,23,nonNat,4.226,21,219,de reactie,0.183,0.829,0.397,nan,32,739.6045403,experiment,31,-99,-99,-99000
fs,10,01M32,30,yes,,het slot,Nat_141_related,0,,,2.776,2.354,2.454,experiment,related,141,Nat,3.683,11,119,de deur,0.1,0.907,0.322,nan,33,748.0778691,experiment,32,-99,-99,-99000
fs,10,01M32,30,yes,Was het lekker weer om te gaan picknicken?,het eten,nonNat_102_unrelated,1,,,4.054,3.647,3.787,experiment,unrelated,102,nonNat,4.693,22,229,de pasta,0.14,0.639,0.267,0,34,759.2394628,experiment,33,slash,0,1652.303128
fs,10,01M32,30,yes,,,Nat_329_control,0,instapkaart,print,3.979,3.353,3.487,experiment,control,329,Nat,5.104,55,155,,0.134,1.125,0.492,nan,35,769.1366942,experiment,34,-99,-99,-99000
fs,10,01M32,30,yes,Werden de kaartjes gecontroleerd in de bus?,de conducteur,Nat_131_unrelated,1,,,3.331,2.815,2.962,experiment,unrelated,131,Nat,4.378,12,129,het mannetje,0.147,1.047,0.369,0,36,781.0790792,experiment,35,z,1,2752.184325
fs,10,01M32,30,yes,Is Andre de nieuwe coach van het team?,het team,Nat_10_unrelated,1,,,1.702,1.302,1.446,experiment,unrelated,10,Nat,2.685,12,129,de groep,0.144,0.983,0.256,1,37,791.1905673,experiment,36,slash,1,2611.033119
fs,10,01M32,30,yes,,de wolf,nonNat_79_related,0,,,4.931,4.508,4.617,experiment,related,79,nonNat,5.456,21,219,het dier,0.109,0.525,0.314,nan,38,801.4469598,experiment,37,-99,-99,-99000
fs,10,01M32,30,yes,Werd het bestek in de onderste lade bewaard?,het bestek,Nat_151_unrelated,1,,,3.292,2.775,2.837,experiment,unrelated,151,Nat,4.222,12,129,de glazen,0.062,0.93,0.455,0,39,812.7897002,experiment,38,z,1,2301.9702
fs,10,01M32,30,yes,Wilde ze graag haar telefoon opladen?,het stopcontact,nonNat_45_unrelated,1,,,5.164,4.361,4.563,experiment,unrelated,45,nonNat,6.47,22,229,de computer,0.202,1.306,0.601,1,40,825.6294958,experiment,39,slash,1,1548.477488
fs,10,01M32,30,yes,,de badmeester,nonNat_41_unrelated,0,,,3.441,2.635,2.807,experiment,unrelated,41,nonNat,5.176,22,229,het personeel,0.172,1.735,0.634,nan,41,835.5993105,experiment,40,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_357_control,0,jaar,wedstrijden,4.986,4.438,4.704,experiment,control,357,nonNat,5.044,55,155,,0.266,0.058,0.282,nan,42,845.4367088,experiment,41,-99,-99,-99000
fs,10,01M32,30,yes,Heeft de spreker een hekel aan dieren?,de dierentuin,nonNat_123_unrelated,1,,,4.395,3.53,3.634,experiment,unrelated,123,nonNat,6.022,22,229,het reservaat,0.104,1.627,0.761,0,43,858.236818,experiment,42,z,1,1961.449084
fs,10,01M32,30,yes,,het woordenboek,Nat_62_unrelated,0,,,4.243,3.189,3.323,experiment,unrelated,62,Nat,5.68,12,129,de encyclopedie,0.134,1.437,0.92,nan,44,868.717618,experiment,43,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_337_control,0,film,personages,5.353,4.52,4.735,experiment,control,337,nonNat,8.055,55,155,,0.215,2.702,0.618,nan,45,881.5751074,experiment,44,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_335_control,0,vluchtelingenstroom,grenscontroles,3.544,2.192,2.734,experiment,control,335,nonNat,8.077,55,155,,0.542,4.533,0.81,nan,46,894.4406076,experiment,45,-99,-99,-99000
fs,10,01M32,30,yes,,de politie,Nat_147_related,0,,,3.691,3.111,3.255,experiment,related,147,Nat,5.729,11,119,het bedrijf,0.144,2.038,0.436,nan,47,904.9680078,experiment,46,-99,-99,-99000
fs,10,01M32,30,yes,Heeft de spreker het over een poster van zijn lievelingsband?,de muur,Nat_58_unrelated,1,,,4.063,3.403,3.602,experiment,unrelated,58,Nat,5.459,12,129,het plafond,0.199,1.396,0.461,1,48,918.0670496,experiment,47,slash,1,2829.395318
fs,10,01M32,30,yes,,,nonNat_332_control,0,invoering,restaurants,2.113,1.234,1.421,experiment,control,332,nonNat,6.836,55,155,,0.187,4.723,0.692,nan,49,929.7029881,experiment,48,-99,-99,-99000
fs,10,01M32,30,yes,Is David een echte gentleman?,de stoel,nonNat_17_unrelated,1,,,3.74,3.06,3.253,experiment,unrelated,17,nonNat,4.925,22,229,het stoeltje,0.193,1.185,0.487,1,50,940.9464249,experiment,49,slash,1,1512.579422
fs,10,01M32,30,yes,Had Marc genoeg tijd ingepland om te studeren voor zijn literatuurtentamen?,de samenvatting,Nat_120_unrelated,1,,,5.874,5.343,5.483,experiment,unrelated,120,Nat,9.53,12,129,het verhaal,0.14,3.656,0.391,0,51,957.458126,experiment,50,z,1,2160.567082
fs,10,01M32,30,yes,,het verkeer,Nat_63_related,0,,,2.162,1.614,1.726,experiment,related,63,Nat,3.467,11,119,de wijk,0.112,1.305,0.436,nan,52,965.7274111,experiment,51,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_354_control,0,buiten,weer,2.252,1.658,1.771,experiment,control,354,nonNat,3.677,55,155,,0.113,1.425,0.481,nan,53,974.2027306,experiment,52,-99,-99,-99000
fs,10,01M32,30,yes,Had het sprookje een goed einde?,het sprookje,Nat_50_related,1,,,3.127,2.504,2.619,experiment,related,50,Nat,4.543,11,119,de trilogie,0.115,1.416,0.508,1,54,985.4812736,experiment,53,slash,1,1929.873329
fs,10,01M32,30,yes,Hebben ze een hoop post gekregen terwijl we op vakantie waren?,de brievenbus,nonNat_31_related,1,,,3.698,3.008,3.133,experiment,related,31,nonNat,4.135,21,219,het postvakje,0.125,0.437,0.565,1,55,998.7689122,experiment,54,slash,1,4330.065217
fs,10,01M32,30,yes,,,Nat_302_control,0,leraren,vakantie,4.913,4.321,4.623,experiment,control,302,Nat,5.546,55,155,,0.302,0.633,0.29,nan,56,1009.107117,experiment,55,-99,-99,-99000
fs,10,01M32,30,yes,,het krijt,Nat_83_related,0,,,4.75,4.195,4.362,experiment,related,83,Nat,6.647,11,119,de schuld,0.167,1.897,0.388,nan,57,1020.55558,experiment,56,-99,-99,-99000
fs,10,01M32,30,yes,,het balkon,nonNat_109_related,0,,,5.956,5.22,5.415,experiment,related,109,nonNat,9.102,21,219,de balustrade,0.195,3.146,0.541,nan,58,1034.449115,experiment,57,-99,-99,-99000
fs,10,01M32,30,yes,Is de student vroeg naar bed gegaan voor zijn tentamen de volgende morgen?,het tentamen,nonNat_118_unrelated,1,,,3.072,2.337,2.496,experiment,unrelated,118,nonNat,4.33,22,229,de opdracht,0.159,1.258,0.576,0,59,1046.960097,experiment,58,z,1,3360.37426
fs,10,01M32,30,yes,,,Nat_323_control,0,krant,uitbraak,1.595,1.159,1.305,experiment,control,323,Nat,4.48,55,155,,0.146,2.885,0.29,nan,60,1056.227961,experiment,59,-99,-99,-99000
fs,10,01M32,30,yes,,het ontbijt,nonNat_28_unrelated,0,,,4.548,3.995,4.143,experiment,unrelated,28,nonNat,5.217,22,229,de brunch,0.148,0.669,0.405,nan,61,1100.630696,experiment,60,-99,-99,-99000
fs,10,01M32,30,yes,Was Aafke nog op het schooplein toen de bel ging?,de bel,nonNat_67_unrelated,1,,,3.905,3.393,3.497,experiment,unrelated,67,nonNat,4.488,22,229,het groepje,0.104,0.583,0.408,1,62,1111.894532,experiment,61,slash,1,1968.005946
fs,10,01M32,30,yes,,,Nat_327_control,0,vrouw,huis,3.834,3,3.529,experiment,control,327,Nat,5.216,55,155,,0.529,1.382,0.305,nan,63,1121.901545,experiment,62,-99,-99,-99000
fs,10,01M32,30,yes,,de afwas,Nat_20_unrelated,0,,,2.625,2.021,2.162,experiment,unrelated,20,Nat,3.216,12,129,het huishouden,0.141,0.591,0.463,nan,64,1129.904812,experiment,63,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_359_control,0,apen,broodje,5.402,4.874,5,experiment,control,359,nonNat,5.456,55,155,,0.126,0.054,0.402,nan,65,1140.161261,experiment,64,-99,-99,-99000
fs,10,01M32,30,yes,Heeft het team de laatste wedstrijd gewonnen?,de taart,nonNat_43_unrelated,1,,,4.249,3.623,3.721,experiment,unrelated,43,nonNat,5.312,22,229,het ijsje,0.098,1.063,0.528,1,66,1152.669398,experiment,65,slash,1,2382.609372
fs,10,01M32,30,yes,,de pet,nonNat_97_related,0,,,3.299,2.876,3.074,experiment,related,97,nonNat,3.649,21,219,het hoofd,0.198,0.35,0.225,nan,67,1161.111068,experiment,66,-99,-99,-99000
fs,10,01M32,30,yes,Gaat de spreker wel eens op vakantie?,het vliegtuig,nonNat_51_unrelated,1,,,3.253,2.694,2.801,experiment,unrelated,51,nonNat,4.137,22,229,de auto,0.107,0.884,0.452,1,68,1171.676618,experiment,67,slash,1,1618.992601
