time	ROI central	ROI central_smaller	
-100.5859	-0.1583	-0.1759	Non-native Unexpected
-99.6094	-0.162	-0.1797	Non-native Unexpected
-98.6328	-0.1656	-0.1832	Non-native Unexpected
-97.6562	-0.1689	-0.1864	Non-native Unexpected
-96.6797	-0.172	-0.1894	Non-native Unexpected
-95.7031	-0.1749	-0.1921	Non-native Unexpected
-94.7266	-0.1776	-0.1945	Non-native Unexpected
-93.75	-0.18	-0.1967	Non-native Unexpected
-92.7734	-0.1821	-0.1985	Non-native Unexpected
-91.7969	-0.184	-0.2	Non-native Unexpected
-90.8203	-0.1857	-0.2012	Non-native Unexpected
-89.8438	-0.1871	-0.2021	Non-native Unexpected
-88.8672	-0.1882	-0.2027	Non-native Unexpected
-87.8906	-0.189	-0.203	Non-native Unexpected
-86.9141	-0.1896	-0.203	Non-native Unexpected
-85.9375	-0.1899	-0.2026	Non-native Unexpected
-84.9609	-0.1899	-0.202	Non-native Unexpected
-83.9844	-0.1897	-0.201	Non-native Unexpected
-83.0078	-0.1892	-0.1998	Non-native Unexpected
-82.0312	-0.1884	-0.1982	Non-native Unexpected
-81.0547	-0.1874	-0.1964	Non-native Unexpected
-80.0781	-0.1861	-0.1942	Non-native Unexpected
-79.1016	-0.1846	-0.1918	Non-native Unexpected
-78.125	-0.1828	-0.1891	Non-native Unexpected
-77.1484	-0.1808	-0.1862	Non-native Unexpected
-76.1719	-0.1785	-0.183	Non-native Unexpected
-75.1953	-0.176	-0.1795	Non-native Unexpected
-74.2188	-0.1733	-0.1758	Non-native Unexpected
-73.2422	-0.1704	-0.1719	Non-native Unexpected
-72.2656	-0.1672	-0.1677	Non-native Unexpected
-71.2891	-0.1638	-0.1633	Non-native Unexpected
-70.3125	-0.1602	-0.1588	Non-native Unexpected
-69.3359	-0.1565	-0.154	Non-native Unexpected
-68.3594	-0.1525	-0.149	Non-native Unexpected
-67.3828	-0.1483	-0.1438	Non-native Unexpected
-66.4062	-0.144	-0.1385	Non-native Unexpected
-65.4297	-0.1395	-0.133	Non-native Unexpected
-64.4531	-0.1349	-0.1273	Non-native Unexpected
-63.4766	-0.13	-0.1215	Non-native Unexpected
-62.5	-0.1251	-0.1156	Non-native Unexpected
-61.5234	-0.12	-0.1095	Non-native Unexpected
-60.5469	-0.1147	-0.1033	Non-native Unexpected
-59.5703	-0.1093	-0.097	Non-native Unexpected
