wrd1;wrd2;speaker;sentID;fullSent;condition;newWord1;newWord2
het;vliegtuig;nat;300;Morgen ga ik met het vliegtuig naar Londen voor een conferentie.;control;conferentie;Londen
de;fiets;nat;301;Op woensdag gaat hij altijd met de fiets naar zijn werk, omdat hij dan pas om 10 uur hoeft te beginnen.;control;werk;woensdag
alle;toetsen;nat;302;Veel leraren zullen blij zijn als het straks eindelijk vakantie is, want dan kunnen ze rustig alle toetsen nakijken.;control;leraren;vakantie
de;universiteit;nat;303;Op de universiteit lopen veel studenten rond die nog niet precies weten wat ze na hun studie willen doen.;control;studenten;studie
de;geschiedenis;nat;304;Piet vond de geschiedenis van Afrika een van de leukste vakken die hij tijdens zijn studie heeft gevolgd.;control;vakken;studie
een;beschuit;nat;305;Voor het ontbijt eet mijn moeder altijd een boterham met kaas en een beschuit met hagelslag.;control;ontbijt;boterham
de;boeken;nat;306;De boeken die in de kast staan heeft Marie allemaal al eens gelezen, die op haar nachtkastje nog niet.;control;kast;nachtkastje
de;sloot;nat;307;Gisteren is een collega van Jan de sloot in gereden, maar gelukkig kon hij net op tijd uit het raam klimmen.;control;collega;raam
de;receptioniste;nat;308;Als de telefoon gaat, hoef je niet op te nemen, want dat doet de receptioniste altijd in dit bedrijf.;control;telefoon;bedrijf
een;smoesje;nat;309;"Kinderen vinden het nooit leuk als je zegt dat ze naar bed moeten; ze verzinnen altijd een smoesje om langer op te mogen blijven.";control;kinderen;bed
andere;pretparken;nat;310;"De Efteling was vroeger het enige grote attractiepark in Nederland; nu zijn er ook veel andere pretparken.";control;attractiepark;Efteling
het;noorden;nat;311;"In februari vieren mensen in het zuiden van het land Carnaval; in het noorden gaan veel mensen in die tijd op skivakantie.";control;land;skivakantie
in;Europa;nat;312;Zwitserland is tegenwoordig een van de duurste landen in Europa om op vakantie te gaan, omdat ze erg rijk zijn.;control;landen;vakantie
een;atol;nat;313;Japan gaat een strategische uitkijkpost bouwen op een atol in de Grote Oceaan, om China beter in de gaten te houden.;control;uitkijkpost;Oceaan
andere;vakken;nat;314;"De leerlingen uit 4 havo vonden dat ze veel teveel huiswerk hadden gekregen voor Geschiedenis; ze hadden geen tijd meer voor andere vakken.";control;leerlingen;huiswerk
de;jaren;nat;330;Het meest favoriete speelgoed van kinderen in de jaren '90 was lego, maar tegenwoordig spelen ze liever met een iPad.;control;speelgoed;iPad
mooie;sjaals;nat;331;"Maartje heeft van haar oma geleerd hoe ze moet breien; nu kan ze zelf ook mooie sjaals maken.";control;oma;breien
het;rookverbod;nat;332;Sinds de invoering van het rookverbod in restaurants vinden veel mensen het een stuk prettiger om langer te dineren.;control;invoering;restaurants
de;stembus;nat;333;De Ierse bevolking gaat volgende maand naar de stembus om een nieuw parlement te kiezen.;control;maand;parlement
voorbije;jaren;nat;334;Amazon is er medeverantwoordelijk voor dat vele boekenwinkels de voorbije jaren de deuren moesten sluiten.;control;boekenwinkels;deuren
lokale;economie;nat;335;Vanwege de vluchtelingenstroom hebben diverse EU-landen grenscontroles ingesteld, maar dit gaat ten koste van de lokale economie.;control;vluchtelingenstroom;grenscontroles
aantallen;toeristen;nat;336;Ecotoerisme is populair in Costa Rica. Maar de grote aantallen toeristen vormen een bedreiging voor het kleine land.;control;bedreiging;land
hun;handen;nat;337;Je moet wel even geduld hebben met deze film, want de personages beginnen pas met hun handen en voeten te knokken als de kogels op zijn.;control;film;personages
de;griep;nat;338;Als je de griep eenmaal hebt, is het zo leuk nog niet om de hele dag tv te kijken.;control;tv;kijken
het;eten;nat;339;Hotels besteden steeds vaker het eten uit aan mensen die daar echt verstand van hebben.;control;hotels;mensen
