filename	totalLen	onsetDet	onsetNoun	offsetNoun	waitForDetOffset	waitForNounOffset	waitForEnd
Nat_100_related	6.59	4.871	4.994	5.301	0.123	0.307	1.289
Nat_100_unrelated	6.47	4.871	5.007	5.418	0.136	0.411	1.052
Nat_101_related	4.333	2.649	2.78	3.117	0.131	0.337	1.216
Nat_101_unrelated	4.149	2.649	2.791	3.096	0.142	0.305	1.053
Nat_102_related	4.237	3.218	3.343	3.612	0.125	0.269	0.625
Nat_102_unrelated	4.427	3.218	3.387	3.731	0.169	0.344	0.696
Nat_103_related	4.8	3.204	3.347	3.665	0.143	0.318	1.135
Nat_103_unrelated	5.019	3.204	3.321	3.771	0.117	0.45	1.248
Nat_104_related	3.754	2.052	2.218	2.527	0.166	0.309	1.227
Nat_104_unrelated	3.664	2.052	2.237	2.475	0.185	0.238	1.189
Nat_105_related	4.464	2.818	3.005	3.48	0.187	0.475	0.984
Nat_105_unrelated	4.367	2.818	2.951	3.341	0.133	0.39	1.026
Nat_106_related	6.113	4.344	4.524	4.929	0.18	0.405	1.184
Nat_106_unrelated	5.987	4.344	4.479	4.871	0.135	0.392	1.116
Nat_107_related	5.192	3.07	3.21	3.638	0.14	0.428	1.554
Nat_107_unrelated	5.535	3.07	3.193	3.662	0.123	0.469	1.873
Nat_108_related	5.8	3.809	4.024	4.256	0.215	0.232	1.544
Nat_108_unrelated	5.884	3.809	3.979	4.323	0.17	0.344	1.561
Nat_109_related	7.488	4.43	4.625	5.12	0.195	0.495	2.368
Nat_109_unrelated	7.734	4.43	4.582	5.318	0.152	0.736	2.416
Nat_10_related	2.704	1.302	1.46	1.709	0.158	0.249	0.995
Nat_10_unrelated	2.685	1.302	1.446	1.702	0.144	0.256	0.983
Nat_110_related	5.545	4.135	4.283	4.654	0.148	0.371	0.891
Nat_110_unrelated	5.638	4.135	4.332	4.75	0.197	0.418	0.888
Nat_111_related	4.061	2.253	2.472	2.871	0.219	0.399	1.19
Nat_111_unrelated	4.015	2.253	2.471	2.739	0.218	0.268	1.276
Nat_113_related	6.504	3.81	3.971	4.305	0.161	0.334	2.199
Nat_113_unrelated	6.658	3.81	3.951	4.427	0.141	0.476	2.231
Nat_114_related	6.049	4.738	4.851	5.295	0.113	0.444	0.754
Nat_114_unrelated	6.041	4.738	4.851	5.292	0.113	0.441	0.749
Nat_116_related	4.529	3.249	3.335	3.874	0.086	0.539	0.655
Nat_116_unrelated	4.349	3.249	3.425	3.795	0.176	0.37	0.554
Nat_117_related	4.36	3.037	3.218	3.7	0.181	0.482	0.66
Nat_117_unrelated	4.275	3.037	3.185	3.583	0.148	0.398	0.692
Nat_118_related	3.334	1.63	1.795	2.219	0.165	0.424	1.115
Nat_118_unrelated	3.37	1.63	1.779	2.121	0.149	0.342	1.249
Nat_11_related	5.544	4.075	4.264	4.653	0.189	0.389	0.891
Nat_11_unrelated	5.853	4.075	4.258	4.963	0.183	0.705	0.89
Nat_120_related	9.376	5.343	5.445	6.122	0.102	0.677	3.254
Nat_120_unrelated	9.53	5.343	5.483	5.874	0.14	0.391	3.656
Nat_121_related	4.12	2.335	2.466	2.804	0.131	0.338	1.316
Nat_121_unrelated	4.113	2.335	2.523	2.83	0.188	0.307	1.283
Nat_122_related	4.929	3.501	3.687	3.95	0.186	0.263	0.979
