speaker,sentID,relatedness,filename,hasQuestion,Question,yesOrNo,part,totalLen,onsetDet,onsetNoun,offsetNoun,waitForDetOffset,waitForNounOffset,waitForEnd
Nat,300,control,Nat_300_control,0,,,experiment,2.657,0.66,0.783,1.205,0.123,0.422,1.452
Nat,301,control,Nat_301_control,0,,,experiment,4.195,1.249,1.369,1.67,0.12,0.301,2.525
Nat,302,control,Nat_302_control,0,,,experiment,5.546,4.321,4.623,4.913,0.302,0.29,0.633
Nat,303,control,Nat_303_control,0,,,experiment,4.896,0.179,0.311,1.034,0.132,0.723,3.862
Nat,304,control,Nat_304_control,0,,,experiment,4.264,0.428,0.515,1.051,0.087,0.536,3.213
Nat,305,control,Nat_305_control,0,,,experiment,4.005,2.76,2.896,3.347,0.136,0.451,0.658
Nat,306,control,Nat_306_control,0,,,experiment,5.032,0.016,0.183,0.44,0.167,0.257,4.592
Nat,307,control,Nat_307_control,0,,,experiment,5.2,1.561,1.613,1.941,0.052,0.328,3.259
Nat,308,control,Nat_308_control,0,,,experiment,4.603,2.694,2.824,3.52,0.13,0.696,1.083
Nat,309,control,Nat_309_control,0,,,experiment,5.998,3.941,4.075,4.494,0.134,0.419,1.504
Nat,310,control,Nat_310_control,0,,,experiment,5.408,4.402,4.654,5.395,0.252,0.741,0.013
Nat,311,control,Nat_311_control,0,,,experiment,6.002,3.47,3.589,3.946,0.119,0.357,2.056
Nat,312,control,Nat_312_control,0,,,experiment,5.376,2.182,2.31,2.688,0.128,0.378,2.688
Nat,313,control,Nat_313_control,0,,,experiment,6.168,2.55,2.655,3.097,0.105,0.442,3.071
Nat,314,control,Nat_314_control,0,,,experiment,7.402,6.658,6.924,7.395,0.266,0.471,0.007
nonNat,300,control,nonNat_300_control,0,,,experiment,3.403,0.8,0.943,1.572,0.143,0.629,1.831
nonNat,301,control,nonNat_301_control,0,,,experiment,5.776,2.679,2.877,3.265,0.198,0.388,2.511
nonNat,302,control,nonNat_302_control,0,,,experiment,6.976,5.745,6.042,6.346,0.297,0.304,0.63
nonNat,303,control,nonNat_303_control,0,,,experiment,5.519,1.366,1.599,2.109,0.233,0.51,3.41
nonNat,304,control,nonNat_304_control,0,,,experiment,5.607,0.515,0.68,1.437,0.165,0.757,4.17
nonNat,305,control,nonNat_305_control,0,,,experiment,4.973,0.209,0.361,0.972,0.152,0.611,4.001
nonNat,306,control,nonNat_306_control,0,,,experiment,5.995,0.828,1.062,1.373,0.234,0.311,4.622
nonNat,307,control,nonNat_307_control,0,,,experiment,6.504,5.67,5.875,6.201,0.205,0.326,0.303
