speaker,sentID,relatedness,filename,hasQuestion,Question,yesOrNo,part
Nat,300,control,Nat_300_control,0,,,experiment
Nat,301,control,Nat_301_control,0,,,experiment
Nat,302,control,Nat_302_control,0,,,experiment
Nat,303,control,Nat_303_control,0,,,experiment
Nat,304,control,Nat_304_control,0,,,experiment
Nat,305,control,Nat_305_control,0,,,experiment
Nat,306,control,Nat_306_control,0,,,experiment
Nat,307,control,Nat_307_control,0,,,experiment
Nat,308,control,Nat_308_control,0,,,experiment
Nat,309,control,Nat_309_control,0,,,experiment
Nat,310,control,Nat_310_control,0,,,experiment
Nat,311,control,Nat_311_control,0,,,experiment
Nat,312,control,Nat_312_control,0,,,experiment
Nat,313,control,Nat_313_control,0,,,experiment
Nat,314,control,Nat_314_control,0,,,experiment
nonNat,300,control,nonNat_300_control,0,,,experiment
nonNat,301,control,nonNat_301_control,0,,,experiment
nonNat,302,control,nonNat_302_control,0,,,experiment
nonNat,303,control,nonNat_303_control,0,,,experiment
nonNat,304,control,nonNat_304_control,0,,,experiment
nonNat,305,control,nonNat_305_control,0,,,experiment
nonNat,306,control,nonNat_306_control,0,,,experiment
nonNat,307,control,nonNat_307_control,0,,,experiment
nonNat,308,control,nonNat_308_control,0,,,experiment
nonNat,309,control,nonNat_309_control,0,,,experiment
nonNat,310,control,nonNat_310_control,0,,,experiment
nonNat,311,control,nonNat_311_control,0,,,experiment
nonNat,312,control,nonNat_312_control,0,,,experiment
nonNat,313,control,nonNat_313_control,0,,,experiment
nonNat,314,control,nonNat_314_control,0,,,experiment
Nat,330,control,Nat_330_control,0,,,experiment
Nat,331,control,Nat_331_control,0,,,experiment
Nat,332,control,Nat_332_control,0,,,experiment
Nat,333,control,Nat_333_control,0,,,experiment
Nat,334,control,Nat_334_control,0,,,experiment
Nat,335,control,Nat_335_control,0,,,experiment
Nat,336,control,Nat_336_control,0,,,experiment
Nat,337,control,Nat_337_control,0,,,experiment
Nat,338,control,Nat_338_control,0,,,experiment
Nat,339,control,Nat_339_control,0,,,experiment
Nat,340,control,Nat_340_control,0,,,experiment
Nat,341,control,Nat_341_control,0,,,experiment
Nat,342,control,Nat_342_control,0,,,experiment
Nat,343,control,Nat_343_control,0,,,experiment
Nat,344,control,Nat_344_control,0,,,experiment
nonNat,330,control,nonNat_330_control,0,,,experiment
nonNat,331,control,nonNat_331_control,0,,,experiment
nonNat,332,control,nonNat_332_control,0,,,experiment
nonNat,333,control,nonNat_333_control,0,,,experiment
nonNat,334,control,nonNat_334_control,0,,,experiment
nonNat,335,control,nonNat_335_control,0,,,experiment
nonNat,336,control,nonNat_336_control,0,,,experiment
nonNat,337,control,nonNat_337_control,0,,,experiment
nonNat,338,control,nonNat_338_control,0,,,experiment
nonNat,339,control,nonNat_339_control,0,,,experiment
nonNat,340,control,nonNat_340_control,0,,,experiment
nonNat,341,control,nonNat_341_control,0,,,experiment
nonNat,342,control,nonNat_342_control,0,,,experiment
nonNat,343,control,nonNat_343_control,0,,,experiment
nonNat,344,control,nonNat_344_control,0,,,experiment
Nat,345,control,Nat_345_control,0,,,experiment
Nat,346,control,Nat_346_control,0,,,experiment
Nat,347,control,Nat_347_control,0,,,experiment
Nat,348,control,Nat_348_control,0,,,experiment
Nat,349,control,Nat_349_control,0,,,experiment
Nat,350,control,Nat_350_control,0,,,experiment
Nat,351,control,Nat_351_control,0,,,experiment
Nat,352,control,Nat_352_control,0,,,experiment
