fileA	fileB	outputFilename
Nat_4_unrelated.wav	Nat_4_related.wav	Nat_4_related_spliced
Nat_10_related.wav	Nat_10_unrelated.wav	Nat_10_unrelated_spliced
Nat_13_related.wav	Nat_13_unrelated.wav	Nat_13_unrelated_spliced
Nat_20_related.wav	Nat_20_unrelated.wav	Nat_20_unrelated_spliced
Nat_22_related.wav	Nat_22_unrelated.wav	Nat_22_unrelated_spliced
Nat_26_related.wav	Nat_26_unrelated.wav	Nat_26_unrelated_spliced
Nat_29_related.wav	Nat_29_unrelated.wav	Nat_29_unrelated_spliced
Nat_30_unrelated.wav	Nat_30_related.wav	Nat_30_related_spliced
Nat_31_unrelated.wav	Nat_31_related.wav	Nat_31_related_spliced
Nat_36_unrelated.wav	Nat_36_related.wav	Nat_36_related_spliced
Nat_40_unrelated.wav	Nat_40_related.wav	Nat_40_related_spliced
Nat_43_unrelated.wav	Nat_43_related.wav	Nat_43_related_spliced
Nat_50_unrelated.wav	Nat_50_related.wav	Nat_50_related_spliced
Nat_57_unrelated.wav	Nat_57_related.wav	Nat_57_related_spliced
Nat_58_unrelated.wav	Nat_58_related.wav	Nat_58_related_spliced
Nat_74_unrelated.wav	Nat_74_related.wav	Nat_74_related_spliced
Nat_84_unrelated.wav	Nat_84_related.wav	Nat_84_related_spliced
Nat_92_unrelated.wav	Nat_92_related.wav	Nat_92_related_spliced
Nat_93_unrelated.wav	Nat_93_related.wav	Nat_93_related_spliced
Nat_98_unrelated.wav	Nat_98_related.wav	Nat_98_related_spliced
Nat_107_related.wav	Nat_107_unrelated.wav	Nat_107_unrelated_spliced
Nat_111_related.wav	Nat_111_unrelated.wav	Nat_111_unrelated_spliced
Nat_118_related.wav	Nat_118_unrelated.wav	Nat_118_unrelated_spliced
Nat_121_related.wav	Nat_121_unrelated.wav	Nat_121_unrelated_spliced
Nat_125_related.wav	Nat_125_unrelated.wav	Nat_125_unrelated_spliced
Nat_129_related.wav	Nat_129_unrelated.wav	Nat_129_unrelated_spliced
Nat_130_related.wav	Nat_130_unrelated.wav	Nat_130_unrelated_spliced
Nat_133_related.wav	Nat_133_unrelated.wav	Nat_133_unrelated_spliced
Nat_141_related.wav	Nat_141_unrelated.wav	Nat_141_unrelated_spliced
Nat_146_related.wav	Nat_146_unrelated.wav	Nat_146_unrelated_spliced
Nat_154_related.wav	Nat_154_unrelated.wav	Nat_154_unrelated_spliced
Nat_156_related.wav	Nat_156_unrelated.wav	Nat_156_unrelated_spliced
